pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS,0.007529426228253313,0.0677172145596381,0.40701791892395395,0.6865022229559077,1.7482934860022574,31,
GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY,0.23300970873786409,0.4872021182700794,0.08705158679467351,0.4491277130181541,1.1942148120602163,17,
GOBP_CYTOKINE_PRODUCTION,0.6425531914893617,0.7778275475923853,0.036993251998507,0.3291714613602146,0.8812020513126433,18,
GOBP_DEFENSE_RESPONSE,0.20042194092827004,0.4872021182700794,0.0943563635421779,0.4851781080716252,1.254034463116148,29,
GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM,0.0440251572327044,0.20251572327044023,0.21925034670375515,0.5541361375610007,1.4893563201002902,23,
GOBP_DEFENSE_RESPONSE_TO_SYMBIONT,0.09554831704668838,0.35090152565880717,0.1473312136993771,0.5222972288996887,1.3752025099645442,15,
GOBP_IMMUNE_RESPONSE,5.850931387781001e-4,0.013457142191896303,0.47727081536286214,0.7763967282244839,1.955995611796464,32,
GOBP_IMMUNE_SYSTEM_DEVELOPMENT,0.8425624321389794,0.8425624321389794,0.024567800621604994,0.26973982767093285,0.7102218191582896,15,
GOBP_INNATE_IMMUNE_RESPONSE,0.0440251572327044,0.20251572327044023,0.21925034670375515,0.5541361375610007,1.4893563201002902,23,
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION,0.790722761596548,0.826664705305482,0.027588589580002907,0.2850068729133308,0.7578232634206336,17,
GOBP_POSITIVE_REGULATION_OF_GENE_EXPRESSION,0.7294117647058823,0.826664705305482,0.03120529699633362,0.29984967861687317,0.8035824722325839,19,
GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,0.3042071197411003,0.5518292682926829,0.0728938564822936,0.42743600969375073,1.1365373349017955,17,
GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS,0.790722761596548,0.826664705305482,0.027588589580002907,0.2850068729133308,0.7578232634206336,17,
GOBP_PROGRAMMED_CELL_DEATH,0.6032085561497326,0.7778275475923853,0.040166098004942086,0.3415637736093843,0.915374206463046,19,
GOBP_REGULATION_OF_CELL_DEATH,0.32219827586206895,0.5518292682926829,0.06994587365016587,0.4243484366447501,1.1251284989883612,16,
GOBP_REGULATION_OF_DEFENSE_RESPONSE,0.3670212765957447,0.5518292682926829,0.06293946920189672,0.40860352500386665,1.0938441106623324,18,
GOBP_REGULATION_OF_IMMUNE_RESPONSE,0.3738219895287958,0.5518292682926829,0.06130260753962072,0.40937742288960166,1.101443503669542,21,
GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,0.383881230116649,0.5518292682926829,0.06064040094941603,0.4169663442279593,1.0807266480021829,28,
GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,0.16163793103448276,0.46470905172413796,0.10882012676916121,0.4773301371782972,1.2656055599302993,16,
GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS,0.230605738575983,0.4872021182700794,0.08679497567717195,0.45435713030196334,1.2169364935718627,20,
GOBP_REGULATION_OF_RESPONSE_TO_STRESS,0.640807651434644,0.7778275475923853,0.03707053936576206,0.33168539422331933,0.8883761994598174,20,
GOBP_RESPONSE_TO_CYTOKINE,0.008832680159952795,0.0677172145596381,0.3807304007227924,0.6419780257046566,1.6879163412149358,27,
GOBP_RESPONSE_TO_VIRUS,0.10679611650485436,0.35090152565880717,0.13802224249664274,0.5097316573500819,1.3553585711573877,17,
